Place_ID,Place_Name,State_UT,Category,Trip_Type,Min_Budget,Max_Budget,Best_Season,Duration_Days,Rating,Description,Image_URL,combined_features
1,Tirupati Temple,Andhra Pradesh,Religious,Family,2000,8000,Winter,2,4.8,Famous hill shrine of Lord Venkateswara.,place_images\Tirupati_Temple.jpg,Religious Family Winter Andhra Pradesh Famous hill shrine of Lord Venkateswara.
2,Araku Valley,Andhra Pradesh,Hill Station,Family,4000,12000,Winter,2,4.4,Scenic valley known for coffee plantations and valleys.,place_images\Araku_Valley.jpg,Hill Station Family Winter Andhra Pradesh Scenic valley known for coffee plantations and valleys.
3,Borra Caves,Andhra Pradesh,Historical,Friends,1500,4000,Winter,1,4.3,Million-year-old limestone caves with stalactites.,place_images\Borra_Caves.jpg,Historical Friends Winter Andhra Pradesh Million-year-old limestone caves with stalactites.
4,Vizag Beach,Andhra Pradesh,Beach,Friends,3000,10000,Winter,2,4.5,Beautiful urban beach along the Bay of Bengal coastline.,place_images\Vizag_Beach.jpg,Beach Friends Winter Andhra Pradesh Beautiful urban beach along the Bay of Bengal coastline.
5,Rushikonda Beach,Andhra Pradesh,Beach,Couple,3000,9000,Winter,1,4.4,Water sports hub with pristine sands and clean waters.,place_images\Rushikonda_Beach.jpg,Beach Couple Winter Andhra Pradesh Water sports hub with pristine sands and clean waters.
6,Undavalli Caves,Andhra Pradesh,Historical,Family,1000,3000,Monsoon,1,4.2,Monolithic Indian rock-cut caves near Vijayawada.,place_images\Undavalli_Caves.jpg,Historical Family Monsoon Andhra Pradesh Monolithic Indian rock-cut caves near Vijayawada.
7,Lepakshi Temple,Andhra Pradesh,Religious,Family,1500,4000,Winter,1,4.6,Famous architectural marvel with a hanging pillar.,place_images\Lepakshi_Temple.jpg,Religious Family Winter Andhra Pradesh Famous architectural marvel with a hanging pillar.
8,Nagarjuna Sagar,Andhra Pradesh,Nature,Family,2500,7000,Monsoon,1,4.3,Massive dam built across Krishna River with island museum.,place_images\Nagarjuna_Sagar.jpg,Nature Family Monsoon Andhra Pradesh Massive dam built across Krishna River with island museum.
9,Belum Caves,Andhra Pradesh,Historical,Friends,2000,5000,Winter,1,4.5,The second largest caves in the Indian subcontinent.,place_images\Belum_Caves.jpg,Historical Friends Winter Andhra Pradesh The second largest caves in the Indian subcontinent.
10,Srisailam,Andhra Pradesh,Religious,Family,3000,9000,Winter,2,4.6,Holy shrine of Lord Shiva amidst Nallamala forests.,place_images\Srisailam.jpg,Religious Family Winter Andhra Pradesh Holy shrine of Lord Shiva amidst Nallamala forests.
11,Kurnool Fort,Andhra Pradesh,Historical,Friends,1000,3000,Winter,1,4.0,Konda Reddy Buruju with historic historical significance.,place_images\kurnool_fort.jpg,Historical Friends Winter Andhra Pradesh Konda Reddy Buruju with historic historical significance.
12,Amaravati,Andhra Pradesh,Religious,Family,2000,6000,Winter,1,4.2,Ancient Buddhist site and modern spiritual town.,place_images\Amaravati.jpg,Religious Family Winter Andhra Pradesh Ancient Buddhist site and modern spiritual town.
13,Vijayawada Kanaka Durga Temple,Andhra Pradesh,Religious,Family,1500,5000,Winter,1,4.7,Revered temple located on the Indrakeeladri hill.,place_images\Vijayawada_Kanaka_Durga_Temple.jpg,Religious Family Winter Andhra Pradesh Revered temple located on the Indrakeeladri hill.
14,Kondapalli Fort,Andhra Pradesh,Historical,Friends,1000,3000,Winter,1,4.1,Historic fort famous for local wooden toys manufacturing.,place_images\Kondapalli_Fort.jpg,Historical Friends Winter Andhra Pradesh Historic fort famous for local wooden toys manufacturing.
15,Horsley Hills,Andhra Pradesh,Hill Station,Couple,4000,11000,Winter,2,4.3,Charming hill station nicknamed Andhra's Ooty.,place_images\Horsley_Hills.jpg,Hill Station Couple Winter Andhra Pradesh Charming hill station nicknamed Andhra's Ooty.
16,Puttaparthi,Andhra Pradesh,Religious,Family,2000,7000,Winter,2,4.5,Spiritual center of Sathya Sai Baba's ashram.,place_images\Puttaparthi.jpg,Religious Family Winter Andhra Pradesh Spiritual center of Sathya Sai Baba's ashram.
17,Srikalahasti Temple,Andhra Pradesh,Religious,Family,2000,6000,Winter,1,4.6,Famous Rahu-Ketu temple dedicated to Lord Shiva.,place_images\Srikalahasti_Temple.jpg,Religious Family Winter Andhra Pradesh Famous Rahu-Ketu temple dedicated to Lord Shiva.
